id;pos_documento
1;[[['acorda-me', 'às', 'nove', 'da', 'manhã', 'na', 'sexta-feira'], ['VERB', 'ADP', 'NUM', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['acorda-me'], ['acorda-me', 'a o', 'nove', 'de o', 'manhã', 'em o', 'sexta-feira']]]
2;[[['accionar', 'um', 'alarme', 'durante', 'duas', 'horas', 'a', 'partir', 'de', 'agora'], ['VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADV'], ['accionar'], ['accionar', 'um', 'alarme', 'durante', 'dois', 'hora', 'a', 'partir', 'de', 'agora']]]
3;[[['olly', 'não', 'fales'], ['NOUN', 'ADV', 'VERB'], ['fales'], ['olly', 'não', 'fales']]]
4;[[['pára'], ['VERB'], ['pára'], ['pára']]]
5;[[['olly', 'pára', 'durante', 'dez', 'segundos'], ['NOUN', 'VERB', 'ADP', 'NUM', 'NOUN'], ['pára'], ['olly', 'pára', 'durante', 'dez', 'segundo']]]
6;[[['pausa', 'por', 'dez', 'segundos'], ['NOUN', 'ADP', 'NUM', 'NOUN'], [], ['pausa', 'por', 'dez', 'segundo']]]
7;[[['tornar', 'a', 'iluminação', 'um', 'pouco', 'mais', 'calorosa', 'aqui'], ['VERB', 'DET', 'NOUN', 'DET', 'ADV', 'ADV', 'ADJ', 'ADV'], ['tornar'], ['tornar', 'o', 'iluminação', 'um', 'pouco', 'mais', 'caloroso', 'aqui']]]
8;[[['definir', 'a', 'iluminação', 'adequada', 'para', 'leitura'], ['VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN'], ['definir'], ['definir', 'o', 'iluminação', 'adequado', 'para', 'leitura']]]
9;[[['hora', 'de', 'cormir'], ['NOUN', 'ADP', 'NOUN'], [], ['hora', 'de', 'cormir']]]
10;[[['tempo', 'de', 'dormir', 'olly'], ['NOUN', 'SCONJ', 'VERB', 'NOUN'], ['dormir'], ['tempo', 'de', 'dormir', 'olly']]]
11;[[['desligar', 'a', 'luz', 'da', 'casa', 'de', 'banho'], ['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['desligar'], ['desligar', 'o', 'luz', 'de o', 'casa', 'de', 'banho']]]
12;[[['alexa', 'diminui', 'as', 'luzes', 'no', 'salão'], ['PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN'], ['diminui'], ['Alexa', 'diminuir', 'o', 'luz', 'em o', 'salão']]]
13;[[['apagar', 'as', 'luzes', 'no', 'quarto'], ['VERB', 'DET', 'NOUN', 'ADP', 'ADJ'], ['apagar'], ['apagar', 'o', 'luz', 'em o', 'quarto']]]
14;[[['mudar', 'as', 'luzes', 'para', 'vinte', 'porcento'], ['VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN'], ['mudar'], ['mudar', 'o', 'luz', 'para', 'vinte', 'porcento']]]
15;[[['olly', 'coloca', 'as', 'luzes', 'para', 'vinte', 'por', 'cento'], ['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'ADP', 'NUM'], ['coloca'], ['olly', 'colocar', 'o', 'luz', 'para', 'vinte', 'por', 'cento']]]
