Token	POS-Tag	OOV	Id	Index	Documento
acorda-me	VERB	1	1	0	acorda-me às nove da manhã na sexta-feira
às	ADP	0	1	1	acorda-me às nove da manhã na sexta-feira
nove	NUM	0	1	2	acorda-me às nove da manhã na sexta-feira
da	ADP	0	1	3	acorda-me às nove da manhã na sexta-feira
manhã	NOUN	0	1	4	acorda-me às nove da manhã na sexta-feira
na	ADP	0	1	5	acorda-me às nove da manhã na sexta-feira
sexta-feira	NOUN	1	1	6	acorda-me às nove da manhã na sexta-feira
accionar	VERB	1	2	0	accionar um alarme durante duas horas a partir de agora
um	DET	0	2	1	accionar um alarme durante duas horas a partir de agora
alarme	NOUN	1	2	2	accionar um alarme durante duas horas a partir de agora
durante	ADP	0	2	3	accionar um alarme durante duas horas a partir de agora
duas	NUM	0	2	4	accionar um alarme durante duas horas a partir de agora
horas	NOUN	0	2	5	accionar um alarme durante duas horas a partir de agora
a	ADP	0	2	6	accionar um alarme durante duas horas a partir de agora
partir	NOUN	0	2	7	accionar um alarme durante duas horas a partir de agora
de	ADP	0	2	8	accionar um alarme durante duas horas a partir de agora
agora	ADV	0	2	9	accionar um alarme durante duas horas a partir de agora
olly	NOUN	1	3	0	olly não fales
não	ADV	0	3	1	olly não fales
fales	VERB	1	3	2	olly não fales
pára	VERB	1	4	0	pára
olly	NOUN	1	5	0	olly pára durante dez segundos
pára	VERB	1	5	1	olly pára durante dez segundos
durante	ADP	0	5	2	olly pára durante dez segundos
dez	NUM	0	5	3	olly pára durante dez segundos
segundos	NOUN	0	5	4	olly pára durante dez segundos
pausa	NOUN	0	6	0	pausa por dez segundos
por	ADP	0	6	1	pausa por dez segundos
dez	NUM	0	6	2	pausa por dez segundos
segundos	NOUN	0	6	3	pausa por dez segundos
tornar	VERB	0	7	0	tornar a iluminação um pouco mais calorosa aqui
a	DET	0	7	1	tornar a iluminação um pouco mais calorosa aqui
iluminação	NOUN	0	7	2	tornar a iluminação um pouco mais calorosa aqui
um	DET	0	7	3	tornar a iluminação um pouco mais calorosa aqui
pouco	ADV	0	7	4	tornar a iluminação um pouco mais calorosa aqui
